item,lift,confidence
sweatshirts & sweatpants,8.907004831,0.163043478
sweatpants & sweatshirts,8.907004831,0.032679739
tees & thermals,8.885542169,0.117647059
thermals & tees,8.885542169,0.006024096
hoodies & sweatpants,8.813946571,0.141304348
sweatpants & hoodies,8.813946571,0.032338308
pumps & caftans,8.75523743,1
caftans & pumps,8.75523743,0.000349162
socks & oxfords,8.726798144,0.15
oxfords & socks,8.726798144,0.020881671
joggers & parkas,8.706597222,0.025
parkas & joggers,8.706597222,0.013888889
overalls & brooches,8.70055517,0.045454545
brooches & overalls,8.70055517,0.007633588
slippers & shirtdresses,8.471283784,0.05
shirtdresses & slippers,8.471283784,0.006756757
ties & shrugs,8.463658866,0.272727273
shrugs & ties,8.463658866,0.003712871
shoes & panties,8.442760943,0.333333333
panties & shoes,8.442760943,0.001010101
tiaras & puffs,8.377881724,0.024390244
puffs & tiaras,8.377881724,0.01369863
slips & trenchcoats,8.358333333,0.125
trenchcoats & slips,8.358333333,0.002666667
socks & trainers,8.311236327,0.142857143
trainers & socks,8.311236327,0.020881671
clutches & wristlets,8.304202237,0.837209302
wristlets & clutches,8.304202237,0.028481013
slides & underwires,8.194444444,0.066666667
underwires & slides,8.194444444,0.004901961
tights & sweatpants,8.118640148,0.076086957
sweatpants & tights,8.118640148,0.029787234
kaftans & sunhats,8.067889318,0.027027027
sunhats & kaftans,8.067889318,0.023809524
shawls & slingbackss,8.06010929,0.019607843
slingbackss & shawls,8.06010929,0.016393443
sweaters & panties,8.052344252,0.333333333
panties & sweaters,8.052344252,0.000963391
socks & overalls,7.994013567,0.13740458
overalls & socks,7.994013567,0.041763341
pullovers & thermals,7.887700535,0.058823529
thermals & pullovers,7.887700535,0.005347594
thongs & boinas,7.848200313,0.028169014
boinas & thongs,7.848200313,0.022222222
pouchs & wristlets,7.816883846,0.11627907
wristlets & pouchs,7.816883846,0.026809651
swimsuits & sunhats,7.807634824,0.135135135
sunhats & swimsuits,7.807634824,0.023041475
clutches & handbags,7.790851554,0.785454545
handbags & clutches,7.790851554,0.256329114
hoodys & parkas,7.644817073,0.025
parkas & hoodys,7.644817073,0.012195122
tights & hoods,7.621580547,0.071428571
hoods & tights,7.621580547,0.008510638
satchels & miniskirts,7.598484848,0.1
miniskirts & satchels,7.598484848,0.003030303
tees & miniskirts,7.552710843,0.1
miniskirts & tees,7.552710843,0.003012048
headbands & oxfords,7.50748503,0.05
oxfords & headbands,7.50748503,0.017964072
cardigans & hoods,7.500299115,0.178571429
hoods & cardigans,7.500299115,0.008375209
tubes & joggers,7.409869976,0.027777778
joggers & tubes,7.409869976,0.021276596
tees & joggers,7.34291332,0.097222222
joggers & tees,7.34291332,0.021084337
hats & fedoras,7.240254891,0.547169811
fedoras & hats,7.240254891,0.107124011
vests & brooches,7.236652237,0.090909091
vests & shrugs,7.236652237,0.090909091
brooches & vests,7.236652237,0.006349206
shrugs & vests,7.236652237,0.003174603
slides & thermals,7.230392157,0.058823529
thermals & slides,7.230392157,0.004901961
packs & parkas,7.20545977,0.025
parkas & packs,7.20545977,0.011494253
mules & miniskirts,7.103399433,0.1
miniskirts & mules,7.103399433,0.002832861
shawls & ponchos,7.087337479,0.017241379
ponchos & shawls,7.087337479,0.016393443
bras & bottles,6.999672721,0.099656357
bottles & bras,6.999672721,0.081232493
fedoras & ponchos,6.991820801,0.103448276
ponchos & fedoras,6.991820801,0.016172507
satchels & shrugs,6.907713499,0.090909091
shrugs & satchels,6.907713499,0.003030303
pins & boinas,6.879915859,0.042253521
boinas & pins,6.879915859,0.019480519
headbands & overalls,6.877085524,0.045801527
overalls & headbands,6.877085524,0.035928144
shawls & oxfords,6.851092896,0.016666667
oxfords & shawls,6.851092896,0.016393443
socks & thermals,6.844547564,0.117647059
thermals & socks,6.844547564,0.004640371
vests & puffers,6.823129252,0.085714286
puffers & vests,6.823129252,0.00952381
