predict,real
-0.05711572,0.293043324
-0.0434951,0.62330829
-0.2016213,0.12791084
1.0188954,-0.532619093
0.00843211,-0.202354127
-0.13609408,-0.532619093
-0.15831499,1.944368157
-0.32476923,-0.202354127
-0.25425017,-0.037221643
-0.02127366,4.751620375
-0.38337755,-0.202354127
-0.36070365,-0.36748661
-0.3092241,-0.532619093
0.03804363,1.614103191
-0.42272013,-0.037221643
-0.28852278,-0.36748661
-0.08961898,0.12791084
-0.06306551,-0.532619093
-0.1770786,1.11870574
-0.3280717,-0.36748661
-0.27840716,-0.532619093
0.27592444,2.935163058
-0.34982514,0.62330829
-0.15989599,16.80629166
-0.04066969,3.100295541
0.34506977,-0.36748661
-0.2633261,8.87993246
0.37180597,-0.36748661
0.2752145,10.20099233
-0.29916048,-0.36748661
-0.19679739,-0.202354127
-0.33901972,-0.532619093
0.05500092,1.283838224
-0.17437781,-0.202354127
-0.43144304,2.604898091
-0.10385523,3.265428024
-0.10808261,7.558872592
-0.04830459,-0.36748661
-0.3038122,0.458175807
-0.10364452,-0.037221643
2.2389407,4.916752858
-0.34072945,0.12791084
0.1331086,3.100295541
-0.23912738,-0.532619093
0.06106414,1.614103191
-0.2779591,0.293043324
0.0839092,-0.037221643
-0.21074653,4.421355408
-0.12081085,-0.202354127
-0.1972496,-0.037221643
-0.25848928,-0.532619093
0.25755924,-0.202354127
0.0749196,-0.532619093
-0.10406286,0.458175807
0.352423,-0.532619093
0.69523305,3.595692991
-0.36200565,-0.202354127
-0.24251848,-0.532619093
-0.12478317,-0.202354127
0.11885767,-0.532619093
-0.16782165,-0.202354127
-0.4417573,-0.532619093
-0.32521468,2.770030574
-0.22781396,3.265428024
-0.25882673,-0.532619093
0.00922701,-0.532619093
0.1265599,-0.202354127
-0.3043037,-0.532619093
-0.20796922,0.12791084
-0.2891957,-0.037221643
-0.14966452,1.614103191
-0.35480857,-0.037221643
-0.21631853,0.788440774
0.01231809,2.770030574
-0.16083755,-0.532619093
-0.01726973,-0.202354127
-0.20686829,1.283838224
